AudioFile,Text
12202720403-CD-韩国-2—2—2_16000,俗话说：“男大当婚，女大当嫁”，而婚姻应该建立在感情的基础之上。每个人都有自己选择恋人的标准，让我们听听他们是怎么说的吧。
12202720403-CD-韩国-2—2—3_16000,"王强，男，24岁，工人。
这几年，不断地有人给我介绍对象，因为我这人没别的好处，就是诚实、能干。要说找对象吧，我的要求不是很高。长相看着顺眼就可以，主要是心眼儿要好，脾气不能太火暴。比较会生活，会持家。当然啦，我妈只有我这一个独生子，我将来的那位要孝顺我父母，不能惹老人生气。可是现在，就我这点条件要找到合适的姑娘也不是太容易吧。"
12202720403-CD-韩国-3—2—1_16000,隐私，开诚布公，藏着掖着，私房钱，小金库，理所当然，花花肠子，有利有弊
12202720403-CD-韩国-3—3—1_16000,跷着二郎腿，任性，怄气，冷战，胳膊肘往外拐，掺和，避风港，亮起了红灯，晾
12202720403-CD-韩国-3—3—2_16000,"女儿：妈，气死我了，我再也不回那个家了，我要搬回来跟你们住！
妈妈：你这孩子，这是说的什么胡话？又和晓刚吵架了吧？
女儿：我回家又是做饭又是打扫房间，可他倒好，跷着二郎腿在沙发上看报纸。我也累了一天，干吗要我伺候他？我说说他，他还不耐烦，这样的日子我过不下去了！
妈妈：你爸我不是也伺候了一辈子吗？男的有几个爱做家务的？大多数人家的日子还不是这样过的？你这孩子，都结婚了，还这么任性，说回娘家就回娘家。小两口动不动就怄气、冷战可不好。一会儿，我给晓刚打个电话，让他过来吃晚饭，吃完饭你们就一起回家。
女儿：妈，你怎么胳膊肘往外拐，一点也不向着我！我还指望你帮我批评他呢。"
12202720403-CD-韩国-4—1_16000,亚婚姻，碍于面子，指指点点，退缩，苦涩，委曲求全，麻木，繁琐，牵扯，空壳
12202720403-CD-韩国-4—2—5_16000,"男，36岁，公司副经理。
虽然现在我身边的朋友有不少离婚的，可我不觉得离婚是个好办法。你想，没有孩子还好，一旦有了孩子，你离了婚找个妻子容易，可给孩子找个妈就难了。这后妈和孩子的关系怎么着也别扭。更别说再找的差不多都是比自己年龄小的，开始觉得有新鲜感，可每天得像孩子似的哄着，稍一不顺心就要小脾气，这谁时间长了也会觉得累。再说了，你敢保证再找的就是和你最投机的？还是现实点，夫妻有矛盾多迁就着点，别闹得最后非离婚不可。"
12202720427-A-韩国-2—2—3_16000,"王强，男，24岁，工人。
这几年，不断地有人给我介绍对象，因为我这人没别的好处，就是诚实、能干。要说找对象吧，我的要求不是很高。长相看着顺眼就可以，主要是心眼儿要好，脾气不能太火暴。比较会生活，会持家。当然啦，我妈只有我这一个独生子，我将来的那位要孝顺我父母，不能惹老人生气。可是现在，就我这点条件要找到合适的姑娘也不是太容易吧。"
12202720427-A-韩国-2—2—5_16000,"李新，男，22岁，大学生。
我已经有女朋友了。我们是自由恋爱的。在别人眼里，我的女朋友不算美女，可我就是喜欢她。可能是“情人眼里出西施”吧，我觉得她长得很耐看，属于那种第一次看见没什么感觉，但越看越好看的类型。她性格活泼大方，也很善解人意。最重要的是我们在一起非常开心，好像总有说不完的话似的。你要问我理想的恋人是什么样的，就是我女朋友这样的。"
12202720429-CD-韩国-2—2—4_16000,"小丽，女，26岁，售货员。
我现在还没有男朋友。为什么？没看上呗。不是我看不上他，就是他嫌弃我。现在的小伙子，又要姑娘长得漂亮，还希望人家要贤惠，要温柔，最好还有个好职业。我呢，觉得男人就要有个男人样儿，不要女里女气的。长相上要阳刚一些。性格要比较开朗的，我不喜欢整天闷闷不乐的人，和那样的人一起过日子将来可能会得抑郁症。还有，男人就应该负责任。我讨厌没有责任感的男人，遇到什么事先想到的总是自己，这样的人靠不住。我妈说我太理想化，可这种大事我可不想马马虎虎的，要找就找个称心如意的。你说是吧？"
12202720429-CD-韩国-3—2—1_16000,隐私，开诚布公，藏着掖着，私房钱，小金库，理所当然，花花肠子，有利有弊
12202720455-CD-韩国-2—2—2_16000,俗话说：“男大当婚，女大当嫁”，而婚姻应该建立在感情的基础之上。每个人都有自己选择恋人的标准，让我们听听他们是怎么说的吧。
12202720481-B-韩国-3—1_16000,冷却，琐事，柴米油盐酱醋茶，花前月下，大手大脚，精打细算，妥协，温情，磨合，判若两人，导火索，一视同仁，一碗水端平，格格不入
12202720483-B-韩国-2—2—8_16000,"李心怡，女，26岁，研究生。
我还没有男朋友。上大学时光顾着念书，没顾上谈恋爱。现在很多我喜欢的小伙子都已经有女朋友了，追我的都是我不喜欢的。我觉得男人应该比较稳重、深沉，比较有大家之气。我讨厌夸夸其谈的男人。另外呢，男人应该体贴照顾自己的女朋友，遇事比较冷静。那种动不动就慌慌张张的人太小家子气。当然，我说的深沉也不等于冷冰冰的，那种硬邦邦的人也不讨人喜欢。我还没谈恋爱，可能我的想法不太符合实际吧。"
12202720485-B-韩国-2—2—7_16000,"孙峰毅，男，27岁，研究生。
我对恋人的想法是有个变化过程的。刚上大学时，我觉得相貌出众、身材苗条的姑娘是我的理想。真的和这样的姑娘交往了，很快就腻了。一方面我得像对待公主一样地对待她，稍微不注意她就生气，另一方面，这样的姑娘常常因为注重打扮忽视学习，所以脑子里空空的，说话时让人觉得乏味，所以赶快分手吧。那就找个朴实点的，比较生活化的，将来比较顾家的那种吧。可这样的姑娘又太现实了，经常提醒你要努力，将来找个好工作，多多赚钱，或者男人就得成大气候等等，听着就快累死了。后来我终于明白，我应该找个志同道合的姑娘，事业上互相帮助，生活上互相支持，比较有共同语言，所以现在我的女朋友就是我的师妹。"
12202720485-B-韩国-3—1_16000,冷却，琐事，柴米油盐酱醋茶，花前月下，大手大脚，精打细算，妥协，温情，磨合，判若两人，导火索，一视同仁，一碗水端平，格格不入
12202720485-B-韩国-3—2—3_16000,刘大爷：我今年80岁了。1945年当兵，1955年转业，后来换了很多次工 作，去过很多地方。你问我和老伴儿有没有隐私啊，没有！我们今年都过了金 婚纪念日了，一辈子都是开诚布公，有什么说什么，从没什么藏着掖着的事 儿。我们那时候的人都单纯，你说这夫妻不是更得互相信任吗？要是好多事儿 都自己憋在心里，那还叫什么两口子？
12202720485-B-韩国-3—3—2_16000,"女儿：妈，气死我了，我再也不回那个家了，我要搬回来跟你们住！
妈妈：你这孩子，这是说的什么胡话？又和晓刚吵架了吧？
女儿：我回家又是做饭又是打扫房间，可他倒好，跷着二郎腿在沙发上看报纸。我也累了一天，干吗要我伺候他？我说说他，他还不耐烦，这样的日子我过不下去了！
妈妈：你爸我不是也伺候了一辈子吗？男的有几个爱做家务的？大多数人家的日子还不是这样过的？你这孩子，都结婚了，还这么任性，说回娘家就回娘家。小两口动不动就怄气、冷战可不好。一会儿，我给晓刚打个电话，让他过来吃晚饭，吃完饭你们就一起回家。
女儿：妈，你怎么胳膊肘往外拐，一点也不向着我！我还指望你帮我批评他呢。"
12202720486-线下-韩国-2—2—9_16000,"张文君，男，28岁，公司职员。
我也差不多算是大龄青年了。工作以后和上学时的想法大不相同。以前觉得和一个靓女走在一起很有面子，现在想通了，漂亮不能当饭吃，再漂亮的人天天看也没什么感觉了。重要的是两个人要比较投机。这话说起来容易，真要找到投机的人还真不是件易事。关键还是看缘分吧。"
12202720486-线下-韩国-2—3—1_16000,先立业后成家，大腕儿，黄金王老五，神魂颠倒，曾经沧海难为水，高不成低不就，叫苦不迭，金童玉女，知冷知热，虚荣，珠光宝气，折腾
12202720492-B-韩国-2—2—5_16000,"李新，男，22岁，大学生。
我已经有女朋友了。我们是自由恋爱的。在别人眼里，我的女朋友不算美女，可我就是喜欢她。可能是“情人眼里出西施”吧，我觉得她长得很耐看，属于那种第一次看见没什么感觉，但越看越好看的类型。她性格活泼大方，也很善解人意。最重要的是我们在一起非常开心，好像总有说不完的话似的。你要问我理想的恋人是什么样的，就是我女朋友这样的。"
12202720492-B-韩国-2—2—8_16000,"李心怡，女，26岁，研究生。
我还没有男朋友。上大学时光顾着念书，没顾上谈恋爱。现在很多我喜欢的小伙子都已经有女朋友了，追我的都是我不喜欢的。我觉得男人应该比较稳重、深沉，比较有大家之气。我讨厌夸夸其谈的男人。另外呢，男人应该体贴照顾自己的女朋友，遇事比较冷静。那种动不动就慌慌张张的人太小家子气。当然，我说的深沉也不等于冷冰冰的，那种硬邦邦的人也不讨人喜欢。我还没谈恋爱，可能我的想法不太符合实际吧。"
12202720492-B-韩国-2—3—4_16000,"李莉：我们都是过来人了，才能悟出这个理儿。年轻的时候脑子里多少都有点虚荣的念头，不是看长相就是看地位、钱财，可就是他有大把的钱财不好好跟你过日子你还不是要痛苦一辈子？
孙娟：对呀，你看攀高枝儿的有几个能真正顺心？咱们年级2班的田华，表面
上打扮得珠光宝气的，在大家面前笑得很灿烂，其实都是做给别人看 的，回到家整天独守空房还得打落了牙齿往肚子里咽，丈夫很少回家，你说和一堆钱过日子有什么意思？
李莉：这月下老人的红线真猜不透是怎么牵的！反正现在我越来越相信姻缘天
定了，有时折腾了一圈还是回到原来的那个人身边，你说这不是缘分是
什么？
孙娟：唉，是啊，这年头想说爱你真不是件容易事啊。咱们好好珍惜自己的那一半吧。"
12202720492-B-韩国-3—1_16000,冷却，琐事，柴米油盐酱醋茶，花前月下，大手大脚，精打细算，妥协，温情，磨合，判若两人，导火索，一视同仁，一碗水端平，格格不入
12202720492-B-韩国-3—2—5_16000,小丽：我马上就要做新娘了。未婚夫是个计算机硕士，我很满意。我觉得夫妻间有时有点儿隐私也无妨。比如我以前谈过恋爱，特别是最后一个男朋友我现在还是一想起来心就会疼。可是当我的未婚夫问起我的过去时，我总是说和男孩子有过来往，但交往都不深。我觉得如果我坦白了我的情史，只会让我的未婚夫心里不舒服，最后可能会使我们的关系受到影响。过去的永远过去了，何必让它来伤害今天的生活呢？家庭中这种善意的隐瞒会使夫妻感情更和谐。所以我赞成适当地保留自己的隐私。
12202720492-B-韩国-3—3—1_16000,跷着二郎腿，任性，怄气，冷战，胳膊肘往外拐，掺和，避风港，亮起了红灯，晾
12202720493-B-韩国-2—2—10（1）_16000,"秦凤娟，女，35岁，公务员
我已经结婚10年了，孩子都8岁了。我理想的恋人从来不是我丈夫这种样子的，可是这么多年来，我丈夫一直非常爱我，帮我做家务，帮我带孩子，我心情不好的时候会耐心地安慰我。他对我的家人也特关心，总是把我家的事当成自己的事。所以，我觉得，理想只是个空的东西，女人只有找到一个真正打心眼儿里心疼你的人才是最大的幸福。"
12202720493-B-韩国-2—2—10_16000,"秦凤娟，女，35岁，公务员
我已经结婚10年了，孩子都8岁了。我理想的恋人从来不是我丈夫这种样子的，可是这么多年来，我丈夫一直非常爱我，帮我做家务，帮我带孩子，我心情不好的时候会耐心地安慰我。他对我的家人也特关心，总是把我家的事当成自己的事。所以，我觉得，理想只是个空的东西，女人只有找到一个真正打心眼儿里心疼你的人才是最大的幸福。"
12202720493-B-韩国-2—3—2_16000,"李莉：娟儿，你听没听说我们班的王利最近结婚了？
孙娟：没有啊。他不是在上海吗？听说成IT业的大腕儿了。上次同学聚会，他不是说他是独身主义者吗？怎么说结婚就结婚了？
李莉：人家那是想先立业后成家。现在钱也有了，事业也有基础了，差不多也到了黄金王老五的岁数，身边的美女轰都轰不走，不结婚还等什么？
孙娟：他原来上大学时单恋黄飞飞，你知不知道？ 
李莉：这件事地球人都知道""当时他整天一副神魂颠倒的样子，为爱情弄得要
死要活的。毕业时还发誓非黄飞飞不娶。前些年他不结婚我们还以为是
“曾经沧海难为水”呢。可现在还是找到了新的美眉，看来他是从那段感情中走出来了。
孙娟：其实黄飞飞挑来挑去的，现在的丈夫还不如王利呢。她也是高不成低不
就的，弄得现在叫苦不迭。"
12202740408-CD-韩国-2—2—5_16000,我已经有女朋友了。我们是自由恋爱的。在别人眼里，我的女朋友不算美女，可我就是喜欢她。可能是“情人眼里出西施”吧，我觉得她长得很耐看，属于那种第一次看见没什么感觉，但越看越好看的类型。她性格活泼大方，也很善解人意。最重要的是我们在一起非常开心，好像总有说不完的话似的。你要问我理想的恋人是什么样的，就是我女朋友这样的。
12202740409-A-韩国-2—2—5_16000,我已经有女朋友了。我们是自由恋爱的。在别人眼里，我的女朋友不算美女，可我就是喜欢她。可能是“情人眼里出西施”吧，我觉得她长得很耐看，属于那种第一次看见没什么感觉，但越看越好看的类型。她性格活泼大方，也很善解人意。最重要的是我们在一起非常开心，好像总有说不完的话似的。你要问我理想的恋人是什么样的，就是我女朋友这样的。
12202740409-A-韩国-3—1_16000,冷却，琐事，柴米油盐酱醋茶，花前月下，大手大脚，精打细算，妥协，温情，磨合，判若两人，导火索，一视同仁，一碗水端平，格格不入
12202740409-A-韩国-3—2—5_16000,小丽：我马上就要做新娘了。未婚夫是个计算机硕士，我很满意。我觉得夫妻间有时有点儿隐私也无妨。比如我以前谈过恋爱，特别是最后一个男朋友我现在还是一想起来心就会疼。可是当我的未婚夫问起我的过去时，我总是说和男孩子有过来往，但交往都不深。我觉得如果我坦白了我的情史，只会让我的未婚夫心里不舒服，最后可能会使我们的关系受到影响。过去的永远过去了，何必让它来伤害今天的生活呢？家庭中这种善意的隐瞒会使夫妻感情更和谐。所以我赞成适当地保留自己的隐私。
12202740409-A-韩国-3—3—1_16000,跷着二郎腿，任性，怄气，冷战，胳膊肘往外拐，掺和，避风港，亮起了红灯，晾
12202740409-A-韩国-3—3—3_16000,"妈妈：你这个傻孩子，丈母娘要是掺和到你们小两口的矛盾里面，女婿还能不反感？那你们只能越吵越厉害，最后吃亏的还不是你？你都这么大了，怎么还听不出好赖话呢？你这么任性可不行，将来会吃苦头的。
女儿：可是结婚是两个人的事，凭什么要我一个人忍让？那还不如不结婚呢！妈妈：你以为你现在还是我们家的公主啊，大家都得哄着你？都是我们给惯的。晓刚也不是不做家务，你不爱洗衣服、洗碗，那还不都是人家在干？你还要求什么？丈夫又不是专门给你干活的机器，你总得让他歇歇吧？你要是在过去当媳妇，早被公公婆婆赶回来了！你怎么这么不懂事呢？
女儿：可是结婚前他说结婚后什么家务也不让我做，每天照顾我。现在怎么都变了？"
12202740411-A-韩国-2—2—5_16000,我已经有女朋友了。我们是自由恋爱的。在别人眼里，我的女朋友不算美女，可我就是喜欢她。可能是“情人眼里出西施”吧，我觉得她长得很耐看，属于那种第一次看见没什么感觉，但越看越好看的类型。她性格活泼大方，也很善解人意。最重要的是我们在一起非常开心，好像总有说不完的话似的。你要问我理想的恋人是什么样的，就是我女朋友这样的。
12202740411-A-韩国-2—2—9_16000,"张文君，男，28岁，公司职员。
我也差不多算是大龄青年了。工作以后和上学时的想法大不相同。以前觉得和一个靓女走在一起很有面子，现在想通了，漂亮不能当饭吃，再漂亮的人天天看也没什么感觉了。重要的是两个人要比较投机。这话说起来容易，真要找到投机的人还真不是件易事。关键还是看缘分吧。"
12202740411-A-韩国-2—3—3_16000,"李莉：鞋子舒服不舒服只有脚知道。也许人家很幸福也说不定。你看孙丽英，
不就是个典型的例子吗？
孙娟：说起孙丽英，我还忘了告诉你，前几天我在商店见到她了，挺着大肚子
正买婴儿用品呢。预产期好像是下个月，到时我们别忘了去看看。 
李莉：你看，原来她那位谈了那么多年，大家都说是一对金童玉女，可最后还 是拜拜了。现在的丈夫又矮又丑，可对孙丽英好得不能再好了。你说哪个对孙丽英更合适？
孙娟：其实长相这东西，时间长了，漂亮的不觉得太漂亮，丑的也看不出来多 丑，关键是个脾气秉性，两个人能知冷知热的，比什么都重要。"
12212720434-C-韩国-2—2—4_16000,"小丽，女，26岁，售货员。
我现在还没有男朋友。为什么？没看上呗。不是我看不上他，就是他嫌弃我。现在的小伙子，又要姑娘长得漂亮，还希望人家要贤惠，要温柔，最好还有个好职业。我呢，觉得男人就要有个男人样儿，不要女里女气的。长相上要阳刚一些。性格要比较开朗的，我不喜欢整天闷闷不乐的人，和那样的人一起过日子将来可能会得抑郁症。还有，男人就应该负责任。我讨厌没有责任感的男人，遇到什么事先想到的总是自己，这样的人靠不住。我妈说我太理想化，可这种大事我可不想马马虎虎的，要找就找个称心如意的。你说是吧？"
12212720434-C-韩国-2—2—7_16000,"孙峰毅，男，27岁，研究生。
我对恋人的想法是有个变化过程的。刚上大学时，我觉得相貌出众、身材苗条的姑娘是我的理想。真的和这样的姑娘交往了，很快就腻了。一方面我得像对待公主一样地对待她，稍微不注意她就生气，另一方面，这样的姑娘常常因为注重打扮忽视学习，所以脑子里空空的，说话时让人觉得乏味，所以赶快分手吧。那就找个朴实点的，比较生活化的，将来比较顾家的那种吧。可这样的姑娘又太现实了，经常提醒你要努力，将来找个好工作，多多赚钱，或者男人就得成大气候等等，听着就快累死了。后来我终于明白，我应该找个志同道合的姑娘，事业上互相帮助，生活上互相支持，比较有共同语言，所以现在我的女朋友就是我的师妹。"
12212720434-C-韩国-2—3—3_16000,"李莉：鞋子舒服不舒服只有脚知道。也许人家很幸福也说不定。你看孙丽英，
不就是个典型的例子吗？
孙娟：说起孙丽英，我还忘了告诉你，前几天我在商店见到她了，挺着大肚子
正买婴儿用品呢。预产期好像是下个月，到时我们别忘了去看看。 
李莉：你看，原来她那位谈了那么多年，大家都说是一对金童玉女，可最后还 是拜拜了。现在的丈夫又矮又丑，可对孙丽英好得不能再好了。你说哪个对孙丽英更合适？
孙娟：其实长相这东西，时间长了，漂亮的不觉得太漂亮，丑的也看不出来多 丑，关键是个脾气秉性，两个人能知冷知热的，比什么都重要。"
